Model,k,Initialization_Method,Measure,Mean,SE,n_seeds,Seeds_Used,Values_Aggregated
IWAE,5,KaimingUni,Training_Activity,20.8,0.3741657386773941,5,"135, 630, 924, 10, 32","21.000000, 22.000000, 20.000000, 21.000000, 20.000000"
IWAE,5,KaimingUni,Training_KL,22.95105400085449,0.07578732993393701,5,"135, 630, 924, 10, 32","23.025749, 23.201885, 22.756729, 22.887648, 22.883259"
IWAE,5,KaimingUni,Training_NLL,69.74630584716797,0.11825174188484762,5,"135, 630, 924, 10, 32","69.737549, 69.361526, 70.060844, 69.664391, 69.907219"
IWAE,5,KaimingUni,Training_NLL+KL,92.69736175537109,0.05767570664705502,5,"135, 630, 924, 10, 32","92.763298, 92.563416, 92.817574, 92.552040, 92.790482"
IWAE,5,XavierNormal,Test_Activity,20.2,0.19999999999999998,5,"135, 630, 924, 10, 32","20.000000, 20.000000, 20.000000, 21.000000, 20.000000"
IWAE,5,XavierNormal,Test_KL,22.66345100402832,0.06847281780578057,5,"135, 630, 924, 10, 32","22.624624, 22.699335, 22.492264, 22.903011, 22.598021"
IWAE,5,XavierNormal,Test_NLL,69.43231658935547,0.07031724853342544,5,"135, 630, 924, 10, 32","69.283722, 69.447456, 69.623909, 69.265076, 69.541420"
IWAE,5,XavierNormal,Test_NLL+KL,92.09576873779297,0.04758351952280996,5,"135, 630, 924, 10, 32","91.908348, 92.146790, 92.116173, 92.168091, 92.139442"
IWAE,5,XavierNormal,Training_Activity,20.2,0.19999999999999998,5,"135, 630, 924, 10, 32","20.000000, 20.000000, 20.000000, 21.000000, 20.000000"
IWAE,5,XavierNormal,Training_KL,22.693180084228516,0.06317045459025077,5,"135, 630, 924, 10, 32","22.696060, 22.762138, 22.467497, 22.848459, 22.691746"
IWAE,5,XavierNormal,Training_NLL,69.4618423461914,0.0875736687077945,5,"135, 630, 924, 10, 32","69.529907, 69.358475, 69.757851, 69.240768, 69.422211"
IWAE,5,XavierNormal,Training_NLL+KL,92.15502166748047,0.029307854601679343,5,"135, 630, 924, 10, 32","92.225967, 92.120613, 92.225349, 92.089226, 92.113953"
IWAE,5,XavierUni,Test_Activity,20.0,0.0,5,"135, 630, 924, 10, 32","20.000000, 20.000000, 20.000000, 20.000000, 20.000000"
IWAE,5,XavierUni,Test_KL,22.69204444885254,0.05053447871384344,5,"135, 630, 924, 10, 32","22.662035, 22.726866, 22.748268, 22.513308, 22.809746"
IWAE,5,XavierUni,Test_NLL,69.48797912597657,0.034965737924983475,5,"135, 630, 924, 10, 32","69.536201, 69.439667, 69.374779, 69.527878, 69.561371"
